volume,negocios,USD,bov
8772367225,1112316,3.9186,74.553
5576416062,719536,3.9052,74.744
8188414824,1065182,3.8914,73.668
6640721967,839602,3.9049,72.84
10021230487,1279903,3.8552,72.763
8715696065,1090336,3.8515,71.767
8714195055,1199943,3.8352,70.609
8581923483,1085984,3.7715,71.405
8462003486,1077935,3.7754,70.953
7415907949,949979,3.7657,70.641
8574961078,1263030,3.7888,70.075
11172777404,1298952,3.7329,72.123
13052807717,1556350,3.756,71.394
14315881116,1232614,3.7537,69.815
12108393771,1672798,3.7732,70.757
11222156470,1400572,3.7051,71.421
33772109053,1476637,3.7048,72.122
9744137479,1351732,3.7038,72.754
9707213968,1354802,3.6907,72.308
15001330138,1934851,3.7853,72.942
20490427445,2428069,3.8994,73.851
13053497411,1506342,3.8187,76.117
12140796506,1433307,3.7746,76.642
16595353890,1272755,3.7418,78.596
14861071573,1719049,3.7407,77.24
21512773040,1866560,3.7364,76.754
15845094655,2042559,3.7283,76.072
11001070989,1439591,3.7086,75.356
12288720173,1421778,3.6581,78.898
16574425657,1676536,3.643,80.122
11278921390,1301793,3.6501,80.867
14125302301,1550223,3.6496,82.739
20894264792,1377422,3.7066,81.815
17804446988,1859928,3.7497,83.082
17325973508,1780658,3.3868,83.622
12225725831,1298016,3.6797,86.537
14003819607,1687183,3.6747,85.13
12274015310,1514727,3.6091,85.232
13086772992,1438374,3.571,85.22
14842404881,1574139,3.5561,85.861
14113712268,1557258,3.5937,84.265
12920484969,1278181,3.5782,82.956
9105996983,1066436,3.5452,82.714
11559394145,1170757,3.5302,83.118
12226784075,1285808,3.5478,83.288
11644606473,1309140,3.5418,84.547
7455584576,896519,3.4805,86.116
10048058783,1080664,3.467,86.445
10389306569,1056541,3.4971,86.383
11178528550,1174370,3.5034,85.044
9517954026,1063057,3.4661,85.469
8857415592,968669,3.4415,85.603
8650166548,928180,3.4096,85.55
10744088006,1110544,3.3971,85.824
16001812333,1350944,3.3838,85.776
8838216161,1039792,3.4035,84.086
12873610997,1009215,3.4257,82.862
10046441939,1113541,3.4099,84.334
8847350347,1042029,3.3852,85.444
10009143889,1073048,3.4046,85.246
11333605403,1182342,3.4189,84.51
9225958730,1125871,3.3897,83.307
9680191051,1071673,3.366,84.82
